Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
4,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987.0,8,8,666,7.4,0.0,0.0,0.0,0.0,0.03,0.04,0.03,0.04,5,3,60.0,2,40.0,55.0,11.35,33.38,20.41,1.49,0.68,55.0,0.68,0.41,0.27,26.35,144.32,83.78,0.54,0.14,0.0,0.95,0.27,32.97,0.41,0.41,0.0,0.27,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275,320,85.9,5051,1645,91,100,91.0,164,179,91.6,16,34,47.1,0.0,0.0,0.0,0.0,0.14,2.97,0.0,0.0,2.43,43.24,38.38,4.73,2.43,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,37.16,0.14,0.14,0.27,0.14,0.0,0.0,0.12,-0.2,-0.2,65.0,0.14,0.0,0.0,1.62,0.54,0.0,1.22,1.08,0.0,0.0,3.38,1.76,0.95,1.62,1.35,0.27,0.0,0.81,1.49,0.68,1.49,1.22,2.84,5.14,0.14,54.5
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999.0,12,12,1062,11.8,0.25,0.34,0.08,0.17,0.3,0.41,0.1,0.21,59,24,40.7,33,55.9,69.58,0.93,9.41,39.15,22.12,1.95,69.32,5.0,2.03,2.8,38.73,238.05,135.25,3.81,2.37,0.85,1.44,1.44,50.25,3.98,3.05,0.17,2.46,0.17,0.17,0.08,0.17,0.0,0.08,0.0,0.08,0.0,0.0,0.0,551,685,80.4,8230,2474,304,348,87.4,198,235,84.3,27,64,42.2,0.08,0.11,0.11,-0.03,1.61,5.08,1.44,0.0,7.03,58.05,52.97,4.83,2.2,0.68,0.42,2.2,0.42,0.68,0.34,0.17,0.0,46.69,0.25,1.1,1.1,0.25,0.08,0.33,0.09,-0.6,-0.2,42.9,0.08,0.0,0.0,1.27,1.1,0.17,0.76,1.27,0.0,0.0,5.59,0.51,0.68,1.69,0.51,0.59,0.59,0.59,1.78,1.19,0.68,0.0,2.46,0.76,0.0,33.3
6,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,1999.0,6,5,428,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,2,66.7,58.96,6.04,26.25,29.58,3.54,0.21,58.96,0.62,0.21,0.42,29.17,125.62,66.25,0.21,0.0,0.0,0.42,0.42,32.5,0.62,0.63,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,231,88.3,3609,1183,81,86,94.2,109,120,90.8,10,19,52.6,0.0,0.0,0.02,0.0,0.0,2.5,0.21,0.0,4.17,48.12,45.21,2.92,2.5,0.0,1.25,0.0,0.42,0.0,0.0,0.0,0.0,42.5,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,0.42,0.0,0.0,0.42,0.62,0.0,2.29,2.08,0.0,0.0,5.21,1.88,2.08,2.92,1.67,1.04,0.21,1.88,3.12,1.25,0.83,0.42,5.21,4.58,0.21,60.0
7,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,8,6,581,6.5,0.15,0.46,0.15,0.46,0.14,0.33,0.14,0.33,12,5,41.7,7,58.3,55.54,3.54,15.85,20.62,19.54,3.54,55.54,1.85,0.77,1.08,23.23,112.77,61.23,2.31,1.08,0.92,2.0,1.08,29.69,6.92,3.1,0.31,2.0,0.46,0.31,0.31,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,202,280,72.1,3131,1127,103,128,80.5,80,105,76.2,11,26,42.3,0.31,0.18,0.15,0.12,1.54,1.08,1.23,0.31,2.46,43.08,34.31,8.31,0.77,0.0,0.31,2.62,7.54,0.0,0.0,0.0,0.0,31.08,0.46,1.08,2.01,0.62,0.08,0.25,0.07,0.1,0.1,56.3,0.15,0.0,0.0,1.54,0.46,0.15,0.46,1.54,0.0,0.0,5.23,1.38,1.08,2.46,1.08,0.62,0.77,2.15,3.23,1.08,2.0,0.46,2.92,2.0,0.0,66.7
9,Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000.0,13,9,825,9.2,0.22,0.22,0.22,0.22,0.03,0.06,0.03,0.06,11,5,45.5,6,54.5,53.59,3.04,17.93,23.91,12.28,0.54,53.59,1.2,0.54,0.65,18.91,112.28,57.5,1.85,2.07,0.11,0.76,0.65,21.41,1.96,1.31,0.22,0.98,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.11,273,395,69.1,4686,2165,141,159,88.7,100,142,70.4,25,68,36.8,0.0,0.03,0.05,-0.03,0.54,2.83,0.54,0.43,3.8,42.93,30.76,11.96,0.87,0.0,0.11,2.83,11.09,0.0,0.0,0.0,0.0,29.67,0.22,1.85,0.55,0.33,0.4,0.67,0.05,1.7,1.7,62.5,0.22,0.0,0.0,0.87,1.3,0.0,0.98,1.74,0.0,0.0,5.0,1.09,0.65,2.39,1.2,0.76,0.43,1.41,2.5,1.09,1.52,0.22,3.37,3.26,0.0,56.5
12,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,12,11,877,9.7,0.21,0.21,0.21,0.21,0.19,0.27,0.19,0.27,28,7,25.0,20,71.4,28.97,1.24,2.78,10.1,16.6,4.95,28.97,2.89,0.72,2.06,19.59,120.41,44.85,2.27,1.03,1.24,3.09,1.86,23.51,6.8,1.95,0.1,1.34,0.0,0.21,0.21,0.21,0.0,0.1,0.0,0.0,0.0,0.0,0.0,108,162,66.7,1671,295,50,72,69.4,47,62,75.8,5,10,50.0,0.0,0.08,0.12,-0.08,0.82,0.82,0.82,0.0,2.37,16.7,15.77,0.93,0.0,0.1,0.31,1.24,0.0,0.0,0.0,0.0,0.0,11.13,0.0,1.13,2.67,0.92,0.08,0.22,0.07,0.2,0.2,40.6,0.1,0.0,0.0,1.13,1.65,0.1,0.1,0.31,0.0,0.0,2.16,1.34,1.96,0.62,0.21,0.21,0.21,0.1,0.62,0.52,0.21,0.0,0.72,1.55,0.1,16.7
13,Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,9,8,645,7.2,0.14,0.14,0.14,0.14,0.03,0.08,0.03,0.08,6,3,50.0,3,50.0,64.31,3.06,14.72,29.72,20.14,2.08,64.31,0.83,0.42,0.42,30.0,141.67,89.03,2.36,0.97,0.56,1.53,0.69,40.56,5.0,1.95,0.0,1.53,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321,393,81.7,4699,2056,186,205,90.7,103,126,81.7,19,32,59.4,0.0,0.06,0.21,-0.06,0.97,3.61,0.83,0.14,4.72,54.58,45.56,8.75,0.69,0.14,0.14,2.78,7.22,0.83,0.83,0.0,0.0,44.58,0.28,1.67,0.84,0.42,0.17,0.33,0.03,0.8,0.8,45.5,0.14,0.0,0.0,1.53,0.28,0.0,0.69,1.53,0.0,0.0,3.61,0.69,0.83,2.22,0.83,0.97,0.42,1.53,2.08,0.56,1.39,0.14,2.92,3.06,0.0,73.3
14,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,12,11,917,10.2,0.39,0.59,0.39,0.59,0.6,0.69,0.52,0.61,20,8,40.0,12,60.0,32.65,0.29,3.04,11.18,18.82,5.69,32.55,1.96,0.78,1.18,19.31,94.02,47.06,1.67,1.47,0.88,3.43,1.18,24.02,7.75,1.47,0.39,0.78,0.0,0.29,0.29,0.1,0.0,0.29,0.0,0.1,0.0,0.0,0.0,121,196,61.7,1535,471,79,107,73.8,34,61,55.7,2,6,33.3,0.2,0.1,0.1,0.1,0.29,0.69,0.59,0.1,1.47,19.22,18.14,0.88,0.0,0.0,0.0,1.76,0.39,0.29,0.2,0.0,0.0,11.86,0.2,0.69,3.34,1.47,0.12,0.27,0.16,-2.1,-1.3,51.7,0.2,0.0,0.0,2.06,0.98,0.2,0.39,0.59,0.0,0.0,2.25,1.47,1.37,1.08,0.49,0.29,0.29,0.39,1.18,0.78,0.69,0.0,1.47,0.29,0.0,33.3
15,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,1999.0,13,13,1038,11.5,0.0,0.09,0.0,0.09,0.03,0.05,0.03,0.05,2,1,50.0,1,50.0,41.91,5.13,20.0,20.09,2.17,0.7,41.91,0.17,0.09,0.09,18.87,136.52,82.87,0.96,0.52,0.0,0.7,0.09,19.3,0.26,1.04,0.17,0.7,0.0,0.0,0.17,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.0,260,363,71.6,5866,2313,77,88,87.5,134,154,87.0,47,107,43.9,0.09,0.01,0.02,0.08,0.35,2.26,0.35,0.0,3.22,31.57,29.3,2.17,2.0,0.0,0.7,0.17,0.17,0.0,0.0,0.0,0.0,22.61,0.09,0.17,0.43,0.09,0.0,0.0,0.08,-0.4,-0.4,48.1,0.52,0.0,0.0,2.52,0.96,0.09,1.83,0.96,0.09,0.09,2.52,1.13,1.22,1.48,0.87,0.61,0.0,0.61,1.13,0.52,0.96,0.52,3.3,4.52,0.0,53.8
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1988.0,9,9,670,7.4,0.0,0.13,0.0,0.13,0.04,0.06,0.04,0.06,1,1,100.0,0,0.0,88.38,6.76,32.7,50.54,5.27,1.08,88.38,0.14,0.14,0.0,58.11,260.68,128.65,0.68,1.08,0.0,0.14,0.14,69.59,0.68,0.94,0.13,0.95,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,555,586,94.7,10328,2924,183,195,93.8,330,339,97.3,35,40,87.5,0.14,0.03,0.05,0.11,0.41,3.92,0.41,0.27,3.92,79.19,76.89,2.16,1.49,0.0,0.0,0.41,0.54,0.0,0.0,0.0,0.0,75.0,0.14,0.0,0.4,0.13,0.0,0.0,0.09,-0.3,-0.3,70.6,0.0,0.0,0.0,0.54,1.08,0.0,2.03,0.54,0.0,0.0,2.57,3.24,1.35,0.81,0.68,0.14,0.0,0.27,0.41,0.14,0.81,0.81,2.84,3.78,0.0,66.7
20,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,2000.0,11,10,828,9.2,0.33,0.43,0.33,0.43,0.44,0.52,0.44,0.52,10,4,40.0,5,50.0,20.11,0.33,1.52,9.57,9.24,4.02,20.11,1.09,0.43,0.54,10.11,49.46,21.3,0.65,0.33,0.54,1.2,1.2,13.91,3.15,1.95,0.33,1.52,0.0,0.33,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.0,79,130,60.8,1078,134,46,66,69.7,26,41,63.4,2,8,25.0,0.11,0.08,0.01,0.03,1.09,0.65,0.0,0.0,0.54,14.13,12.5,1.52,0.0,0.0,0.22,0.43,0.0,0.0,0.0,0.0,0.0,8.59,0.11,0.54,2.28,1.09,0.14,0.3,0.19,-1.0,-1.0,53.7,0.22,0.0,0.0,1.74,0.76,1.63,0.11,0.22,0.11,0.0,2.07,2.39,2.07,0.33,0.11,0.11,0.11,0.22,0.33,0.11,0.22,0.11,0.43,0.33,0.11,66.7
21,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,28.0,1996.0,12,9,762,8.5,0.35,0.47,0.35,0.47,0.29,0.4,0.29,0.4,11,4,36.4,5,45.5,29.41,0.24,2.12,15.65,12.0,3.06,29.41,1.29,0.47,0.59,16.82,76.35,26.24,0.94,0.71,0.24,2.59,0.94,21.29,4.94,2.6,0.12,2.0,0.0,0.0,0.35,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.0,128,177,72.3,1917,310,70,87,80.5,44,57,77.2,7,14,50.0,0.12,0.12,0.09,0.0,1.18,1.18,0.24,0.0,0.94,20.82,19.41,1.29,0.12,0.12,0.24,0.24,0.12,0.0,0.0,0.0,0.0,15.06,0.12,0.59,2.01,0.94,0.18,0.38,0.14,0.6,0.6,43.8,0.12,0.0,0.0,0.94,1.29,0.82,0.0,0.35,0.0,0.0,1.65,1.65,2.12,0.71,0.12,0.35,0.24,0.0,0.12,0.12,0.59,0.35,0.71,0.24,0.0,0.0
23,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001.0,11,10,805,8.9,0.22,0.34,0.22,0.34,0.42,0.58,0.42,0.58,12,6,50.0,6,50.0,31.01,1.01,3.26,14.61,13.6,4.27,31.01,1.35,0.67,0.67,15.96,67.53,25.39,0.56,0.34,0.34,3.03,1.12,20.45,5.06,2.34,0.33,1.8,0.0,0.11,0.22,0.22,0.0,0.22,0.0,0.0,0.11,0.0,0.0,112,176,63.6,1344,110,68,98,69.4,29,44,65.9,1,2,50.0,0.11,0.16,0.17,-0.04,1.46,0.34,0.22,0.0,0.56,19.78,18.31,1.24,0.0,0.11,0.0,0.22,0.11,0.0,0.0,0.0,0.0,12.58,0.22,0.67,2.24,0.89,0.1,0.25,0.19,-1.8,-1.8,27.4,0.34,0.11,0.0,2.13,1.69,0.9,0.56,0.0,0.0,0.0,2.92,2.58,6.85,0.34,0.11,0.11,0.11,0.0,0.45,0.45,0.67,0.0,0.9,1.01,0.0,0.0
26,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22.0,2002.0,5,4,305,3.4,0.59,1.48,0.59,1.48,0.22,0.71,0.22,0.71,22,12,54.5,9,40.9,39.71,0.59,3.53,17.65,20.0,5.0,39.71,6.47,3.53,2.65,23.82,202.65,103.24,3.53,2.94,2.35,2.94,1.47,29.71,8.53,3.84,0.89,2.35,0.0,0.59,0.59,0.29,0.0,0.88,0.0,0.0,0.0,0.0,0.0,60,82,73.2,816,94,32,42,76.2,22,26,84.6,0,0,0.0,0.88,0.5,0.18,0.38,2.65,0.0,0.88,0.0,0.88,24.12,23.53,0.29,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0,17.65,0.29,2.06,2.36,1.18,0.25,0.5,0.09,1.3,1.3,25.0,0.0,0.0,0.0,1.47,0.88,0.0,0.29,1.47,0.0,0.0,3.53,0.29,0.88,2.06,0.88,0.29,0.88,0.59,0.59,0.0,1.76,0.0,2.35,0.0,0.0,100.0
