,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
5,5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999.0,12,12,1062,11.8,0.25,0.34,0.08,0.17,0.3,0.41,0.1,0.21,59,24,40.7,33,55.9,69.58,0.93,9.41,39.15,22.12,1.95,69.32,5.0,2.03,2.8,38.73,238.05,135.25,3.81,2.37,0.85,1.44,1.44,50.25,3.98,3.05,0.17,2.46,0.17,0.17,0.08,0.17,0.0,0.08,0.0,0.08,0.0,0.0,0.0,551,685,80.4,8230,2474,304,348,87.4,198,235,84.3,27,64,42.2,0.08,0.11,0.11,-0.03,1.61,5.08,1.44,0.0,7.03,58.05,52.97,4.83,2.2,0.68,0.42,2.2,0.42,0.68,0.34,0.17,0.0,46.69,0.25,1.1,1.1,0.25,0.08,0.33,0.09,-0.6,-0.2,42.9,0.08,0.0,0.0,1.27,1.1,0.17,0.76,1.27,0.0,0.0,5.59,0.51,0.68,1.69,0.51,0.59,0.59,0.59,1.78,1.19,0.68,0.0,2.46,0.76,0.0,33.3
6,6,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,1999.0,6,5,428,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,33.3,2,66.7,58.96,6.04,26.25,29.58,3.54,0.21,58.96,0.62,0.21,0.42,29.17,125.62,66.25,0.21,0.0,0.0,0.42,0.42,32.5,0.62,0.63,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,231,88.3,3609,1183,81,86,94.2,109,120,90.8,10,19,52.6,0.0,0.0,0.02,0.0,0.0,2.5,0.21,0.0,4.17,48.12,45.21,2.92,2.5,0.0,1.25,0.0,0.42,0.0,0.0,0.0,0.0,42.5,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4,0.42,0.0,0.0,0.42,0.62,0.0,2.29,2.08,0.0,0.0,5.21,1.88,2.08,2.92,1.67,1.04,0.21,1.88,3.12,1.25,0.83,0.42,5.21,4.58,0.21,60.0
7,7,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,8,6,581,6.5,0.15,0.46,0.15,0.46,0.14,0.33,0.14,0.33,12,5,41.7,7,58.3,55.54,3.54,15.85,20.62,19.54,3.54,55.54,1.85,0.77,1.08,23.23,112.77,61.23,2.31,1.08,0.92,2.0,1.08,29.69,6.92,3.1,0.31,2.0,0.46,0.31,0.31,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,202,280,72.1,3131,1127,103,128,80.5,80,105,76.2,11,26,42.3,0.31,0.18,0.15,0.12,1.54,1.08,1.23,0.31,2.46,43.08,34.31,8.31,0.77,0.0,0.31,2.62,7.54,0.0,0.0,0.0,0.0,31.08,0.46,1.08,2.01,0.62,0.08,0.25,0.07,0.1,0.1,56.3,0.15,0.0,0.0,1.54,0.46,0.15,0.46,1.54,0.0,0.0,5.23,1.38,1.08,2.46,1.08,0.62,0.77,2.15,3.23,1.08,2.0,0.46,2.92,2.0,0.0,66.7
9,9,Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000.0,13,9,825,9.2,0.22,0.22,0.22,0.22,0.03,0.06,0.03,0.06,11,5,45.5,6,54.5,53.59,3.04,17.93,23.91,12.28,0.54,53.59,1.2,0.54,0.65,18.91,112.28,57.5,1.85,2.07,0.11,0.76,0.65,21.41,1.96,1.31,0.22,0.98,0.0,0.11,0.0,0.11,0.11,0.0,0.0,0.11,0.0,0.0,0.11,273,395,69.1,4686,2165,141,159,88.7,100,142,70.4,25,68,36.8,0.0,0.03,0.05,-0.03,0.54,2.83,0.54,0.43,3.8,42.93,30.76,11.96,0.87,0.0,0.11,2.83,11.09,0.0,0.0,0.0,0.0,29.67,0.22,1.85,0.55,0.33,0.4,0.67,0.05,1.7,1.7,62.5,0.22,0.0,0.0,0.87,1.3,0.0,0.98,1.74,0.0,0.0,5.0,1.09,0.65,2.39,1.2,0.76,0.43,1.41,2.5,1.09,1.52,0.22,3.37,3.26,0.0,56.5
14,14,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,12,11,917,10.2,0.39,0.59,0.39,0.59,0.6,0.69,0.52,0.61,20,8,40.0,12,60.0,32.65,0.29,3.04,11.18,18.82,5.69,32.55,1.96,0.78,1.18,19.31,94.02,47.06,1.67,1.47,0.88,3.43,1.18,24.02,7.75,1.47,0.39,0.78,0.0,0.29,0.29,0.1,0.0,0.29,0.0,0.1,0.0,0.0,0.0,121,196,61.7,1535,471,79,107,73.8,34,61,55.7,2,6,33.3,0.2,0.1,0.1,0.1,0.29,0.69,0.59,0.1,1.47,19.22,18.14,0.88,0.0,0.0,0.0,1.76,0.39,0.29,0.2,0.0,0.0,11.86,0.2,0.69,3.34,1.47,0.12,0.27,0.16,-2.1,-1.3,51.7,0.2,0.0,0.0,2.06,0.98,0.2,0.39,0.59,0.0,0.0,2.25,1.47,1.37,1.08,0.49,0.29,0.29,0.39,1.18,0.78,0.69,0.0,1.47,0.29,0.0,33.3
19,21,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,28.0,1996.0,12,9,762,8.5,0.35,0.47,0.35,0.47,0.29,0.4,0.29,0.4,11,4,36.4,5,45.5,29.41,0.24,2.12,15.65,12.0,3.06,29.41,1.29,0.47,0.59,16.82,76.35,26.24,0.94,0.71,0.24,2.59,0.94,21.29,4.94,2.6,0.12,2.0,0.0,0.0,0.35,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.0,128,177,72.3,1917,310,70,87,80.5,44,57,77.2,7,14,50.0,0.12,0.12,0.09,0.0,1.18,1.18,0.24,0.0,0.94,20.82,19.41,1.29,0.12,0.12,0.24,0.24,0.12,0.0,0.0,0.0,0.0,15.06,0.12,0.59,2.01,0.94,0.18,0.38,0.14,0.6,0.6,43.8,0.12,0.0,0.0,0.94,1.29,0.82,0.0,0.35,0.0,0.0,1.65,1.65,2.12,0.71,0.12,0.35,0.24,0.0,0.12,0.12,0.59,0.35,0.71,0.24,0.0,0.0
21,23,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001.0,11,10,805,8.9,0.22,0.34,0.22,0.34,0.42,0.58,0.42,0.58,12,6,50.0,6,50.0,31.01,1.01,3.26,14.61,13.6,4.27,31.01,1.35,0.67,0.67,15.96,67.53,25.39,0.56,0.34,0.34,3.03,1.12,20.45,5.06,2.34,0.33,1.8,0.0,0.11,0.22,0.22,0.0,0.22,0.0,0.0,0.11,0.0,0.0,112,176,63.6,1344,110,68,98,69.4,29,44,65.9,1,2,50.0,0.11,0.16,0.17,-0.04,1.46,0.34,0.22,0.0,0.56,19.78,18.31,1.24,0.0,0.11,0.0,0.22,0.11,0.0,0.0,0.0,0.0,12.58,0.22,0.67,2.24,0.89,0.1,0.25,0.19,-1.8,-1.8,27.4,0.34,0.11,0.0,2.13,1.69,0.9,0.56,0.0,0.0,0.0,2.92,2.58,6.85,0.34,0.11,0.11,0.11,0.0,0.45,0.45,0.67,0.0,0.9,1.01,0.0,0.0
27,29,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000.0,11,5,494,5.5,0.36,0.91,0.36,0.91,0.01,0.22,0.01,0.22,11,4,36.4,6,54.5,75.64,2.18,13.45,45.82,17.27,0.36,75.64,2.0,0.73,1.09,42.73,253.64,117.09,1.64,2.0,0.18,1.09,0.36,50.36,2.0,4.55,0.91,3.09,1.27,0.18,0.0,0.0,0.0,0.36,0.36,0.18,0.0,0.0,0.0,299,367,81.5,5965,1960,130,143,90.9,112,130,86.2,55,84,65.5,0.55,0.22,0.15,0.33,2.36,7.27,0.73,0.0,7.27,66.73,59.64,6.73,2.73,0.36,0.91,4.18,0.36,3.45,0.91,2.36,0.0,54.36,0.36,0.55,0.36,0.36,1.0,1.0,0.03,1.9,1.9,33.3,0.18,0.0,0.0,0.36,2.18,0.0,0.55,1.45,0.0,0.0,5.45,0.55,1.09,2.55,0.73,1.09,0.73,1.27,2.36,1.09,1.27,0.18,3.09,1.82,0.0,53.8
31,33,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26.0,1998.0,12,8,783,8.7,0.23,0.23,0.23,0.23,0.17,0.26,0.17,0.26,47,23,48.9,22,46.8,38.85,0.57,4.71,15.75,18.97,3.68,38.85,5.4,2.64,2.53,25.52,167.24,73.56,2.64,1.95,1.38,3.33,2.64,28.62,6.21,3.1,0.34,1.61,0.0,0.8,0.46,0.23,0.0,0.11,0.0,0.23,0.0,0.0,0.0,145,208,69.7,2669,675,62,79,78.5,58,79,73.4,22,28,78.6,0.0,0.09,0.06,-0.09,1.26,1.49,0.8,0.69,2.07,23.91,22.64,1.03,0.11,0.0,0.46,3.22,0.57,0.0,0.0,0.0,0.0,16.67,0.23,1.49,2.18,0.8,0.11,0.29,0.08,0.5,0.5,25.0,0.11,0.0,0.0,1.49,1.84,0.46,0.57,0.69,0.0,0.0,4.02,0.8,2.41,1.15,0.23,0.46,0.46,0.46,1.15,0.69,0.8,0.11,1.72,0.92,0.0,40.0
34,37,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,2002.0,12,8,685,7.6,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.04,12,10,83.3,2,16.7,65.13,2.63,15.53,39.74,10.79,0.79,65.13,1.58,1.32,0.26,32.11,155.53,71.32,1.45,1.32,0.13,1.71,0.66,43.68,1.45,2.36,0.13,2.11,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,327,411,79.6,5030,1384,178,201,88.6,111,137,81.0,26,42,61.9,0.0,0.03,0.03,-0.03,0.79,3.68,0.26,0.0,4.08,54.08,52.11,1.58,1.05,0.13,0.26,0.39,0.53,0.0,0.0,0.0,0.0,43.03,0.39,1.05,0.39,0.0,0.0,0.0,0.04,-0.1,-0.1,46.7,0.13,0.13,0.0,2.24,0.26,0.26,1.45,0.79,0.0,0.13,5.0,1.84,2.11,2.76,1.18,1.32,0.26,1.32,1.97,0.66,1.84,0.79,4.21,1.18,0.0,66.7
